Date,Open,High,Low,Close,Volume
2025-03-03,300.34,303.94,277.3,284.65,114705688.0
2025-02-28,279.5,293.88,273.6,292.98,115022796.0
2025-02-27,291.16,297.23,280.88,281.95,99675189.0
2025-02-26,303.715,309.0,288.04,290.8,99838297.0
2025-02-25,327.025,328.89,297.2512,302.8,134086111.0
2025-02-24,338.14,342.3973,324.7,330.53,75124361.0
2025-02-21,353.44,354.98,334.42,337.8,73307347.0
2025-02-20,361.51,362.3,348.0,354.4,45678444.0
2025-02-19,354.0,367.34,353.67,360.56,66414333.0
2025-02-18,355.01,359.1,350.02,354.11,50791983.0
2025-02-14,360.62,362.0,347.5,355.84,68035295.0
2025-02-13,345.0,358.69,342.85,355.94,89013891.0
2025-02-12,329.94,346.4,329.12,336.51,104510014.0
2025-02-11,345.8,349.37,325.1,328.5,117845662.0
2025-02-10,356.21,362.7,350.51,350.73,76663686.0
2025-02-07,370.19,380.5459,360.34,361.62,69940474.0
2025-02-06,373.03,375.4,363.18,374.32,77683541.0
2025-02-05,387.51,388.39,375.53,378.17,57122240.0
2025-02-04,382.63,394.0,381.4,392.21,56538834.0
2025-02-03,386.68,389.17,374.36,383.68,92548135.0
2025-01-31,401.53,419.99,401.34,404.6,83120943.0
2025-01-30,410.78,412.5,384.41,400.28,97306057.0
2025-01-29,395.21,398.5899,384.48,389.1,67539680.0
2025-01-28,396.91,400.59,386.5,398.09,48182215.0
2025-01-27,394.8,406.69,389.0,397.15,57530206.0
2025-01-24,414.45,418.88,405.78,406.58,56040899.0
2025-01-23,416.06,420.73,408.95,412.38,50256265.0
2025-01-22,416.81,428.0,414.59,415.11,58607285.0
2025-01-21,432.64,433.2,406.31,424.07,86135522.0
2025-01-17,421.5,439.74,419.75,426.5,93720727.0
2025-01-16,423.49,424.0,409.13,413.82,67415747.0
2025-01-15,409.9,429.8,405.661,428.22,80545916.0
2025-01-14,414.34,422.64,394.54,396.36,84320305.0
2025-01-13,383.21,403.79,380.07,403.31,66880038.0
2025-01-10,391.4,399.28,377.29,394.74,61855030.0
2025-01-08,392.95,402.4999,387.4,394.94,72031826.0
2025-01-07,405.83,414.33,390.0,394.36,74746864.0
2025-01-06,423.2,426.43,401.7,411.05,85279764.0
2025-01-03,381.48,411.8799,379.45,410.44,94141976.0
2025-01-02,390.1,392.7299,373.04,379.28,108874734.0
2024-12-31,423.79,427.93,402.54,403.84,75352539.0
2024-12-30,419.4,427.0,415.75,417.41,63882851.0
2024-12-27,449.52,450.0,426.5,431.66,82153407.0
2024-12-26,465.16,465.3299,451.02,454.13,76417798.0
2024-12-24,435.9,462.78,435.14,462.28,59371086.0
2024-12-23,431.0,434.51,415.4112,430.6,71671069.0
2024-12-20,425.505,447.08,417.64,421.06,129046402.0
2024-12-19,451.88,456.36,420.02,436.17,118488518.0
2024-12-18,466.495,488.5399,427.01,440.13,149033301.0
2024-12-17,475.9,483.99,457.5101,479.86,129534242.0
2024-12-16,441.09,463.19,436.15,463.02,113147500.0
2024-12-13,420.0,436.3,415.71,436.23,88419044.0
2024-12-12,424.84,429.3,415.0,418.1,87450947.0
2024-12-11,409.7,424.88,402.38,424.77,103207026.0
2024-12-10,392.68,409.73,390.85,400.99,97619098.0
2024-12-09,397.61,404.8,378.01,389.79,95373769.0
2024-12-06,377.42,389.49,370.8,389.22,80930635.0
2024-12-05,359.87,375.43,359.5,369.49,80671224.0
2024-12-04,353.0,358.1,348.6,357.93,49419848.0
2024-12-03,351.8,355.69,348.2,351.42,57079765.0
2024-12-02,352.38,360.0,351.1501,357.09,76206078.0
2024-11-29,336.08,345.45,334.6501,345.16,36645458.0
2024-11-27,341.8,342.55,326.59,332.89,57181887.0
2024-11-26,341.0,346.96,335.66,338.23,61382497.0
2024-11-25,360.14,361.93,338.2,338.59,91310133.0
2024-11-22,341.085,361.53,337.7,352.56,88350753.0
2024-11-21,343.81,347.9899,335.28,339.64,57790226.0
2024-11-20,345.0,346.5999,334.3,342.03,64842707.0
2024-11-19,335.76,347.3799,332.75,346.0,88501177.0
2024-11-18,340.73,348.5499,330.01,338.74,123345498.0
2024-11-15,310.57,324.6799,309.22,320.72,114042990.0
2024-11-14,327.69,329.98,310.37,311.18,120073937.0
2024-11-13,335.85,344.5999,322.5,330.24,123989652.0
2024-11-12,342.74,345.84,323.31,328.49,155039630.0
2024-11-11,346.3,358.64,336.0,350.0,209748330.0
2024-11-08,299.14,328.71,297.66,321.22,204046950.0
2024-11-07,288.89,299.75,285.52,296.91,114667321.0
2024-11-06,284.67,289.59,275.62,288.53,163679097.0
2024-11-05,247.34,255.2799,246.2101,251.44,68425207.0
2024-11-04,244.56,248.9,238.88,242.84,68149888.0
2024-11-01,252.043,254.0,246.63,248.98,56067847.0
